p_id,professor,student,hasPosition,inPhase,yearsInProgram,p_id_dummy,course_id,courseLevel
3,0,1,0,0,0,,,
4,0,1,0,0,0,,,
5,1,0,Faculty,0,0,,19.0,Level_500
5,1,0,Faculty,0,0,,51.0,Level_400
5,1,0,Faculty,0,0,,71.0,Level_500
6,0,1,0,Post_Quals,Year_2,29.0,,
6,0,1,0,Post_Quals,Year_2,165.0,,
7,1,0,Faculty_adj,0,0,,,
9,0,1,0,Post_Generals,Year_5,335.0,124.0,Level_300
13,0,1,0,Post_Generals,Year_7,240.0,,
14,0,1,0,Post_Generals,Year_10,150.0,,
15,0,1,0,Post_Quals,Year_3,,,
18,0,1,0,Pre_Quals,Year_3,335.0,51.0,Level_400
19,0,1,0,Pre_Quals,Year_1,,,
20,0,1,0,Pre_Quals,Year_1,,,
21,0,1,0,Post_Generals,Year_5,211.0,,
22,1,0,Faculty_eme,0,0,,21.0,Level_400
23,0,1,0,0,0,,,
27,0,1,0,Pre_Quals,Year_1,,,
29,1,0,Faculty_adj,0,0,,,
31,0,1,0,0,0,,,
35,0,1,0,0,0,,,
36,0,1,0,0,0,,,
37,0,1,0,Pre_Quals,Year_1,79.0,,
38,0,1,0,0,0,,,
39,0,1,0,0,0,,,
40,1,0,Faculty,0,0,,0.0,Level_500
40,1,0,Faculty,0,0,,1.0,Level_500
41,0,1,0,Post_Quals,Year_5,394.0,,
42,0,1,0,Pre_Quals,Year_1,,,
45,0,1,0,Post_Generals,Year_5,211.0,,
45,0,1,0,Post_Generals,Year_5,415.0,,
46,1,0,Faculty,0,0,,124.0,Level_300
46,1,0,Faculty,0,0,,172.0,Level_500
51,0,1,0,Pre_Quals,Year_2,,,
52,1,0,Faculty,0,0,,11.0,Level_300
52,1,0,Faculty,0,0,,77.0,Level_500
52,1,0,Faculty,0,0,,121.0,Level_500
52,1,0,Faculty,0,0,,147.0,Level_300
57,1,0,0,0,0,,11.0,Level_300
57,1,0,0,0,0,,147.0,Level_300
58,0,1,0,0,0,,,
61,0,1,0,0,0,,,
62,0,1,0,Pre_Quals,Year_2,104.0,,
63,0,1,0,Post_Generals,Year_5,415.0,,
64,1,0,0,0,0,,49.0,Level_400
67,0,1,0,Post_Generals,Year_6,98.0,,
67,0,1,0,Post_Generals,Year_6,375.0,,
68,0,1,0,Post_Generals,Year_5,201.0,,
70,0,1,0,Pre_Quals,Year_1,,,
71,0,1,0,0,0,,,
72,1,0,Faculty,0,0,,13.0,Level_500
72,1,0,Faculty,0,0,,79.0,Level_500
72,1,0,Faculty,0,0,,115.0,Level_500
72,1,0,Faculty,0,0,,157.0,Level_400
73,0,1,0,Post_Quals,Year_4,,,
75,0,1,0,Post_Generals,Year_6,331.0,165.0,Level_300
76,0,1,0,0,0,,,
77,0,1,0,0,0,,,
79,1,0,Faculty,0,0,,12.0,Level_500
79,1,0,Faculty,0,0,,16.0,Level_500
79,1,0,Faculty,0,0,,24.0,Level_400
79,1,0,Faculty,0,0,,64.0,Level_500
79,1,0,Faculty,0,0,,170.0,Level_500
80,0,1,0,Post_Generals,Year_6,234.0,,
81,0,1,0,Post_Generals,Year_6,342.0,,
81,0,1,0,Post_Generals,Year_6,393.0,,
82,1,0,Faculty,0,0,,120.0,Level_500
82,1,0,Faculty,0,0,,151.0,Level_400
83,0,1,0,Post_Quals,Year_5,349.0,,
84,0,1,0,0,0,,,
85,0,1,0,0,0,,,
86,0,1,0,0,0,,,
87,0,1,0,0,0,,,
88,0,1,0,0,0,,,
89,0,1,0,Post_Generals,Year_5,104.0,,
90,0,1,0,0,0,,,
92,0,1,0,Post_Generals,Year_5,101.0,,
94,0,1,0,Pre_Quals,Year_1,,,
96,0,1,0,Post_Generals,Year_5,5.0,,
98,1,0,Faculty,0,0,,80.0,Level_400
98,1,0,Faculty,0,0,,167.0,Level_500
99,0,1,0,Post_Quals,Year_2,104.0,21.0,Level_400
100,0,1,0,Post_Quals,Year_5,104.0,,
100,0,1,0,Post_Quals,Year_5,235.0,,
101,1,0,Faculty,0,0,,62.0,Level_400
101,1,0,Faculty,0,0,,80.0,Level_400
102,0,1,0,0,0,,,
103,1,0,Faculty_aff,0,0,,98.0,Level_500
104,1,0,Faculty,0,0,,38.0,Level_400
104,1,0,Faculty,0,0,,74.0,Level_500
105,0,1,0,0,0,,,
107,1,0,Faculty,0,0,,4.0,Level_500
107,1,0,Faculty,0,0,,18.0,Level_300
107,1,0,Faculty,0,0,,48.0,Level_400
107,1,0,Faculty,0,0,,61.0,Level_500
108,0,1,0,0,0,,,
111,1,0,Faculty_adj,0,0,,,
113,0,1,0,Post_Generals,Year_4,342.0,,
113,0,1,0,Post_Generals,Year_4,394.0,,
115,1,0,Faculty,0,0,,,
116,0,1,0,Pre_Quals,Year_3,124.0,,
118,0,1,0,Post_Generals,Year_4,5.0,,
119,0,1,0,0,0,,,
122,0,1,0,Post_Quals,Year_4,72.0,,
123,0,1,0,0,0,,,
124,1,0,Faculty,0,0,,14.0,Level_500
124,1,0,Faculty,0,0,,38.0,Level_400
124,1,0,Faculty,0,0,,74.0,Level_500
125,0,1,0,0,0,,,
126,0,1,0,Post_Quals,Year_5,213.0,,
129,0,1,0,Post_Generals,Year_6,179.0,,
129,0,1,0,Post_Generals,Year_6,234.0,,
130,0,1,0,Post_Generals,Year_8,124.0,,
131,0,1,0,0,0,,,
138,0,1,0,0,0,,,
139,0,1,0,Post_Quals,Year_3,,,
140,0,1,0,0,0,,,
141,0,1,0,Post_Generals,Year_6,331.0,165.0,Level_300
142,0,1,0,Post_Generals,Year_9,342.0,,
144,0,1,0,0,0,,,
146,0,1,0,0,0,,,
148,0,1,0,Post_Quals,Year_5,171.0,,
149,0,1,0,Post_Quals,Year_5,,,
150,1,0,Faculty,0,0,,24.0,Level_400
150,1,0,Faculty,0,0,,57.0,Level_400
150,1,0,Faculty,0,0,,123.0,Level_500
150,1,0,Faculty,0,0,,128.0,Level_400
150,1,0,Faculty,0,0,,141.0,Level_500
154,0,1,0,Post_Quals,Year_4,124.0,,
154,0,1,0,Post_Quals,Year_4,235.0,,
155,0,1,0,Pre_Quals,Year_2,101.0,,
157,0,1,0,Post_Quals,Year_4,72.0,,
158,0,1,0,0,0,,,
159,0,1,0,Post_Quals,Year_2,57.0,,
159,0,1,0,Post_Quals,Year_2,201.0,,
161,0,1,0,Post_Generals,Year_7,,,
163,0,1,0,Post_Quals,Year_4,393.0,,
165,1,0,Faculty,0,0,,27.0,Level_400
165,1,0,Faculty,0,0,,40.0,Level_500
165,1,0,Faculty,0,0,,66.0,Level_500
165,1,0,Faculty,0,0,,77.0,Level_500
165,1,0,Faculty,0,0,,104.0,Level_300
165,1,0,Faculty,0,0,,126.0,Level_400
165,1,0,Faculty,0,0,,137.0,Level_400
165,1,0,Faculty,0,0,,147.0,Level_300
166,1,0,0,0,0,,51.0,Level_400
167,0,1,0,0,0,,,
168,1,0,Faculty,0,0,,52.0,Level_400
171,1,0,Faculty,0,0,,44.0,Level_400
171,1,0,Faculty,0,0,,50.0,Level_500
171,1,0,Faculty,0,0,,173.0,Level_500
172,0,1,0,Pre_Quals,Year_1,,,
175,0,1,0,Post_Generals,Year_2,,,
176,0,1,0,Post_Quals,Year_2,407.0,,
178,0,1,0,0,0,,,
179,1,0,Faculty,0,0,,23.0,Level_500
179,1,0,Faculty,0,0,,34.0,Level_500
179,1,0,Faculty,0,0,,151.0,Level_400
180,1,0,Faculty,0,0,,2.0,Level_500
180,1,0,Faculty,0,0,,20.0,Level_400
180,1,0,Faculty,0,0,,80.0,Level_400
181,1,0,0,0,0,,36.0,Level_500
181,1,0,0,0,0,,104.0,Level_300
181,1,0,0,0,0,,117.0,Level_500
181,1,0,0,0,0,,165.0,Level_300
182,0,1,0,Post_Quals,Year_3,,,
183,0,1,0,Pre_Quals,Year_4,5.0,,
185,1,0,Faculty_adj,0,0,,,
186,0,1,0,Pre_Quals,Year_1,,,
187,0,1,0,Pre_Quals,Year_1,,,
188,0,1,0,0,0,,,
189,1,0,Faculty_adj,0,0,,49.0,Level_400
189,1,0,Faculty_adj,0,0,,53.0,Level_400
190,0,1,0,0,0,,,
191,0,1,0,Post_Quals,Year_4,,,
193,0,1,0,Pre_Quals,Year_1,,,
195,0,1,0,0,0,,,
198,0,1,0,0,0,,,
200,0,1,0,Post_Quals,Year_4,72.0,,
201,1,0,Faculty,0,0,,68.0,Level_400
201,1,0,Faculty,0,0,,103.0,Level_500
201,1,0,Faculty,0,0,,147.0,Level_300
201,1,0,Faculty,0,0,,161.0,Level_400
203,0,1,0,0,0,,,
204,0,1,0,Post_Generals,Year_6,104.0,38.0,Level_400
205,0,1,0,Pre_Quals,Year_1,,,
206,0,1,0,Post_Generals,Year_6,72.0,,
206,0,1,0,Post_Generals,Year_6,342.0,,
207,0,1,0,0,0,,,
208,0,1,0,Post_Quals,Year_4,319.0,,
211,1,0,Faculty,0,0,,12.0,Level_500
211,1,0,Faculty,0,0,,24.0,Level_400
211,1,0,Faculty,0,0,,143.0,Level_400
211,1,0,Faculty,0,0,,170.0,Level_500
212,0,1,0,Post_Generals,Year_7,180.0,,
213,1,0,Faculty,0,0,,18.0,Level_300
213,1,0,Faculty,0,0,,48.0,Level_400
213,1,0,Faculty,0,0,,129.0,Level_500
213,1,0,Faculty,0,0,,162.0,Level_500
214,0,1,0,0,0,,,
217,0,1,0,Post_Generals,Year_5,72.0,,
217,0,1,0,Post_Generals,Year_5,342.0,,
218,0,1,0,Post_Generals,Year_12,101.0,,
222,0,1,0,Pre_Quals,Year_1,,,
223,0,1,0,0,0,,,
226,0,1,0,Post_Quals,Year_4,324.0,,
228,0,1,0,Post_Quals,Year_3,342.0,,
228,0,1,0,Post_Quals,Year_3,393.0,,
228,0,1,0,Post_Quals,Year_3,394.0,,
230,0,1,0,0,0,,,
231,1,0,0,0,0,,165.0,Level_300
232,0,1,0,0,0,,,
233,0,1,0,Pre_Quals,Year_1,,,
234,1,0,Faculty,0,0,,151.0,Level_400
235,1,0,Faculty,0,0,,9.0,Level_500
235,1,0,Faculty,0,0,,88.0,Level_500
235,1,0,Faculty,0,0,,120.0,Level_500
235,1,0,Faculty,0,0,,139.0,Level_500
235,1,0,Faculty,0,0,,151.0,Level_400
235,1,0,Faculty,0,0,,166.0,Level_500
237,0,1,0,0,0,,,
239,0,1,0,Post_Quals,Year_4,171.0,,
240,1,0,Faculty,0,0,,16.0,Level_500
240,1,0,Faculty,0,0,,24.0,Level_400
240,1,0,Faculty,0,0,,134.0,Level_500
240,1,0,Faculty,0,0,,156.0,Level_500
240,1,0,Faculty,0,0,,158.0,Level_500
240,1,0,Faculty,0,0,,168.0,Level_500
241,0,1,0,Post_Quals,Year_3,,,
242,0,1,0,Post_Generals,Year_5,29.0,,
242,0,1,0,Post_Generals,Year_5,165.0,,
248,1,0,0,0,0,,49.0,Level_400
248,1,0,0,0,0,,53.0,Level_400
249,0,1,0,Post_Generals,Year_7,331.0,,
253,0,1,0,Post_Generals,Year_5,101.0,,
255,0,1,0,Post_Generals,Year_5,,38.0,Level_400
257,0,1,0,Post_Generals,Year_7,240.0,,
258,0,1,0,0,0,,,
259,0,1,0,0,0,,,
261,0,1,0,0,0,,,
262,0,1,0,Post_Generals,Year_7,292.0,,
262,0,1,0,Post_Generals,Year_7,415.0,,
263,0,1,0,Post_Generals,Year_6,5.0,49.0,Level_400
265,0,1,0,Post_Generals,Year_9,168.0,,
266,0,1,0,Post_Quals,Year_5,7.0,,
267,1,0,0,0,0,,75.0,Level_400
267,1,0,0,0,0,,151.0,Level_400
267,1,0,0,0,0,,174.0,Level_400
269,0,1,0,0,0,,,
270,0,1,0,Pre_Quals,Year_1,,,
271,0,1,0,0,0,,,
272,0,1,0,Post_Quals,Year_2,7.0,,
274,0,1,0,0,0,,,
275,0,1,0,Post_Generals,Year_5,79.0,,
276,0,1,0,Pre_Quals,Year_3,407.0,,
277,0,1,0,Pre_Quals,Year_1,,,
278,0,1,0,Pre_Quals,Year_2,,144.0,Level_500
279,1,0,Faculty,0,0,,3.0,Level_500
279,1,0,Faculty,0,0,,101.0,Level_500
279,1,0,Faculty,0,0,,108.0,Level_500
280,0,1,0,Pre_Quals,Year_3,101.0,,
283,0,1,0,Pre_Quals,Year_1,,,
284,0,1,0,Post_Quals,Year_3,,,
286,0,1,0,Post_Quals,Year_3,171.0,,
287,0,1,0,0,0,,,
288,0,1,0,Post_Generals,Year_5,165.0,,
290,1,0,Faculty,0,0,,18.0,Level_300
290,1,0,Faculty,0,0,,30.0,Level_400
290,1,0,Faculty,0,0,,151.0,Level_400
292,1,0,Faculty_aff,0,0,,15.0,Level_500
293,1,0,Faculty_aff,0,0,,44.0,Level_400
294,0,1,0,0,0,,,
296,0,1,0,0,0,,,
297,1,0,Faculty_eme,0,0,,8.0,Level_400
298,1,0,Faculty,0,0,,11.0,Level_300
298,1,0,Faculty,0,0,,29.0,Level_500
298,1,0,Faculty,0,0,,40.0,Level_500
298,1,0,Faculty,0,0,,66.0,Level_500
298,1,0,Faculty,0,0,,161.0,Level_400
299,0,1,0,Pre_Quals,Year_3,,,
300,0,1,0,Post_Generals,Year_8,342.0,,
303,0,1,0,Post_Quals,Year_4,29.0,,
303,0,1,0,Post_Quals,Year_4,165.0,,
306,0,1,0,0,0,,,
309,0,1,0,Post_Quals,Year_3,378.0,,
310,0,1,0,0,0,,,
311,0,1,0,Post_Quals,Year_3,,,
312,0,1,0,Pre_Quals,Year_4,319.0,,
314,0,1,0,Post_Generals,Year_4,415.0,,
315,0,1,0,0,0,,,
317,0,1,0,0,0,,,
318,0,1,0,Pre_Quals,Year_5,185.0,,
318,0,1,0,Pre_Quals,Year_5,319.0,,
319,1,0,Faculty,0,0,,32.0,Level_500
319,1,0,Faculty,0,0,,76.0,Level_500
319,1,0,Faculty,0,0,,132.0,Level_500
320,0,1,0,Post_Quals,Year_3,150.0,,
321,0,1,0,0,0,,,
322,0,1,0,0,0,,,
324,1,0,Faculty,0,0,,11.0,Level_300
324,1,0,Faculty,0,0,,68.0,Level_400
324,1,0,Faculty,0,0,,77.0,Level_500
324,1,0,Faculty,0,0,,84.0,Level_500
324,1,0,Faculty,0,0,,97.0,Level_400
324,1,0,Faculty,0,0,,119.0,Level_500
324,1,0,Faculty,0,0,,147.0,Level_300
325,0,1,0,0,0,,,
326,1,0,0,0,0,,18.0,Level_300
327,0,1,0,0,0,,,
328,0,1,0,0,0,,,
331,1,0,Faculty,0,0,,11.0,Level_300
331,1,0,Faculty,0,0,,27.0,Level_400
331,1,0,Faculty,0,0,,68.0,Level_400
331,1,0,Faculty,0,0,,91.0,Level_500
331,1,0,Faculty,0,0,,144.0,Level_500
331,1,0,Faculty,0,0,,147.0,Level_300
331,1,0,Faculty,0,0,,149.0,Level_500
331,1,0,Faculty,0,0,,160.0,Level_500
331,1,0,Faculty,0,0,,161.0,Level_400
333,0,1,0,Pre_Quals,Year_2,,,
335,1,0,Faculty,0,0,,46.0,Level_500
335,1,0,Faculty,0,0,,63.0,Level_500
335,1,0,Faculty,0,0,,124.0,Level_300
335,1,0,Faculty,0,0,,138.0,Level_500
335,1,0,Faculty,0,0,,146.0,Level_300
335,1,0,Faculty,0,0,,172.0,Level_500
340,0,1,0,0,0,,,
342,1,0,Faculty,0,0,,13.0,Level_500
342,1,0,Faculty,0,0,,115.0,Level_500
342,1,0,Faculty,0,0,,153.0,Level_500
342,1,0,Faculty,0,0,,157.0,Level_400
343,0,1,0,Pre_Quals,Year_1,,,
347,0,1,0,0,0,,,
348,0,1,0,Post_Quals,Year_3,324.0,,
349,1,0,Faculty_adj,0,0,,,
350,0,1,0,0,0,,,
351,1,0,Faculty,0,0,,41.0,Level_400
351,1,0,Faculty,0,0,,93.0,Level_400
351,1,0,Faculty,0,0,,110.0,Level_400
351,1,0,Faculty,0,0,,118.0,Level_400
351,1,0,Faculty,0,0,,125.0,Level_400
351,1,0,Faculty,0,0,,148.0,Level_400
351,1,0,Faculty,0,0,,150.0,Level_500
351,1,0,Faculty,0,0,,164.0,Level_400
352,0,1,0,Post_Generals,Year_5,292.0,,
352,0,1,0,Post_Generals,Year_5,415.0,,
353,0,1,0,Post_Quals,Year_4,319.0,,
354,0,1,0,0,0,,,
356,0,1,0,0,0,,,
357,0,1,0,Post_Quals,Year_4,124.0,,
358,0,1,0,0,0,,,
361,0,1,0,Post_Generals,Year_6,,,
362,0,1,0,Post_Quals,Year_3,5.0,,
362,0,1,0,Post_Quals,Year_3,335.0,,
363,0,1,0,Pre_Quals,Year_3,,,
364,1,0,0,0,0,,104.0,Level_300
364,1,0,0,0,0,,147.0,Level_300
364,1,0,0,0,0,,165.0,Level_300
368,0,1,0,Post_Generals,Year_4,180.0,,
370,1,0,0,0,0,,19.0,Level_500
373,1,0,Faculty,0,0,,18.0,Level_300
373,1,0,Faculty,0,0,,129.0,Level_500
374,0,1,0,Post_Generals,Year_12,179.0,,
375,1,0,Faculty_eme,0,0,,18.0,Level_300
375,1,0,Faculty_eme,0,0,,48.0,Level_400
375,1,0,Faculty_eme,0,0,,116.0,Level_500
376,0,1,0,Post_Quals,Year_4,107.0,,
376,0,1,0,Post_Quals,Year_4,179.0,,
377,0,1,0,Pre_Quals,Year_1,,,
378,1,0,Faculty,0,0,,40.0,Level_500
378,1,0,Faculty,0,0,,122.0,Level_400
380,0,1,0,Post_Generals,Year_6,79.0,,
381,0,1,0,Post_Generals,Year_10,168.0,,
382,0,1,0,Post_Quals,Year_3,,,
383,0,1,0,Pre_Quals,Year_2,,,
384,0,1,0,Post_Quals,Year_3,240.0,,
384,0,1,0,Post_Quals,Year_3,407.0,,
390,0,1,0,Pre_Quals,Year_2,,,
391,0,1,0,Post_Quals,Year_4,235.0,,
392,0,1,0,0,0,,,
393,1,0,Faculty,0,0,,,
394,1,0,Faculty,0,0,,28.0,Level_400
394,1,0,Faculty,0,0,,67.0,Level_500
394,1,0,Faculty,0,0,,89.0,Level_400
394,1,0,Faculty,0,0,,101.0,Level_500
394,1,0,Faculty,0,0,,136.0,Level_500
394,1,0,Faculty,0,0,,153.0,Level_500
394,1,0,Faculty,0,0,,157.0,Level_400
394,1,0,Faculty,0,0,,159.0,Level_400
397,0,1,0,0,0,,,
398,0,1,0,Pre_Quals,Year_1,,,
400,0,1,0,0,0,,,
401,0,1,0,0,0,,,
402,0,1,0,Pre_Quals,Year_2,,,
403,0,1,0,Post_Generals,Year_12,234.0,,
404,0,1,0,Post_Generals,Year_4,72.0,,
406,0,1,0,Post_Generals,Year_5,,,
407,1,0,Faculty,0,0,,12.0,Level_500
407,1,0,Faculty,0,0,,24.0,Level_400
407,1,0,Faculty,0,0,,82.0,Level_400
407,1,0,Faculty,0,0,,143.0,Level_400
407,1,0,Faculty,0,0,,170.0,Level_500
408,0,1,0,Pre_Quals,Year_2,,,
410,0,1,0,0,0,,,
411,0,1,0,Post_Generals,Year_6,373.0,,
412,0,1,0,Post_Quals,Year_3,,,
415,1,0,Faculty,0,0,,7.0,Level_500
415,1,0,Faculty,0,0,,39.0,Level_500
415,1,0,Faculty,0,0,,44.0,Level_400
416,0,1,0,Pre_Quals,Year_1,,,
417,0,1,0,Pre_Quals,Year_1,,,
418,0,1,0,Post_Quals,Year_3,171.0,,
419,0,1,0,Post_Generals,Year_7,101.0,,
420,0,1,0,0,0,,,
422,0,1,0,Post_Quals,Year_3,,,
424,0,1,0,0,0,,,
426,0,1,0,Post_Quals,Year_5,179.0,,
426,0,1,0,Post_Quals,Year_5,235.0,,
427,0,1,0,Post_Quals,Year_4,,,
428,0,1,0,0,0,,,
429,0,1,0,Post_Quals,Year_5,335.0,,
431,0,1,0,Pre_Quals,Year_2,,,
432,0,1,0,Post_Quals,Year_5,240.0,,
435,0,1,0,Post_Quals,Year_4,279.0,,
